,,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",total
ZCTA5 85210,Margin of Error,+/-278,+/-195,+/-220,+/-189,+/-190,+/-208,+/-167,+/-183,+/-174,+/-219,+/-190,+/-190,+/-169,+/-134,+/-109,+/-42,0
ZCTA5 85212,Estimate,209,101,160,176,254,234,233,358,301,426,935,1431,974,642,618,173,7225
ZCTA5 85212,Margin of Error,+/-91,+/-54,+/-89,+/-87,+/-120,+/-106,+/-104,+/-153,+/-116,+/-129,+/-184,+/-285,+/-230,+/-188,+/-173,+/-71,0
ZCTA5 85213,Estimate,770,442,501,790,552,600,607,580,485,936,1336,1416,937,591,702,860,12105
ZCTA5 85213,Margin of Error,+/-184,+/-145,+/-143,+/-214,+/-177,+/-188,+/-167,+/-152,+/-146,+/-215,+/-222,+/-248,+/-176,+/-121,+/-133,+/-161,0
ZCTA5 85215,Estimate,365,292,429,370,203,432,287,382,334,552,674,783,633,368,496,320,6920
ZCTA5 85215,Margin of Error,+/-138,+/-114,+/-118,+/-120,+/-93,+/-111,+/-96,+/-94,+/-114,+/-144,+/-171,+/-165,+/-143,+/-101,+/-112,+/-100,0
ZCTA5 85224,Estimate,703,641,494,764,555,878,861,865,846,1714,2322,2697,1799,914,751,454,17258
ZCTA5 85224,Margin of Error,+/-183,+/-208,+/-157,+/-177,+/-179,+/-216,+/-199,+/-176,+/-171,+/-305,+/-289,+/-299,+/-275,+/-198,+/-154,+/-126,0
ZCTA5 85225,Estimate,1546,1048,996,1262,981,1385,1245,1366,1349,2155,2922,3817,2057,1424,835,602,24990
